detector+descriptor,frmae_index,camera_ttc,lidar_ttc,diff_ttc,diff_ttc_aver
SHITOMASI+BRISK,0,,,,
SHITOMASI+BRISK,1,12.3201,13.9019,-1.5818,-0.467277222
SHITOMASI+BRISK,2,12.2199,12.9876,-0.7677,
SHITOMASI+BRISK,3,14.7467,13.2474,1.4993,
SHITOMASI+BRISK,4,16.5095,12.8899,3.6196,
SHITOMASI+BRISK,5,15.5839,13.4476,2.1363,
SHITOMASI+BRISK,6,12.8867,13.5266,-0.6399,
SHITOMASI+BRISK,7,11.9813,12.7172,-0.7359,
SHITOMASI+BRISK,8,13.1207,13.712,-0.5913,
SHITOMASI+BRISK,9,13.0207,11.5126,1.5081,
SHITOMASI+BRISK,10,11.3424,13.456,-2.1136,
SHITOMASI+BRISK,11,12.5881,11.9816,0.6065,
SHITOMASI+BRISK,12,8.84817,11.8135,-2.96533,
SHITOMASI+BRISK,13,9.96028,12.0367,-2.07642,
SHITOMASI+BRISK,14,9.34284,11.342,-1.99916,
SHITOMASI+BRISK,15,8.36357,9.07784,-0.71427,
SHITOMASI+BRISK,16,10.2781,10.4612,-0.1831,
SHITOMASI+BRISK,17,9.61104,11.6823,-2.07126,
SHITOMASI+BRISK,18,8.39758,9.73863,-1.34105,
SHITOMASI+BRIEF,0,,,,
SHITOMASI+BRIEF,1,12.3201,14.0747,-1.7546,-0.874333889
SHITOMASI+BRIEF,2,12.2199,13.8102,-1.5903,
SHITOMASI+BRIEF,3,14.7467,11.7319,3.0148,
SHITOMASI+BRIEF,4,16.5095,13.6007,2.9088,
SHITOMASI+BRIEF,5,15.5839,12.3,3.2839,
SHITOMASI+BRIEF,6,12.8867,13.2703,-0.3836,
SHITOMASI+BRIEF,7,11.9813,21.3557,-9.3744,
SHITOMASI+BRIEF,8,13.1207,12.5199,0.6008,
SHITOMASI+BRIEF,9,13.0207,11.6077,1.413,
SHITOMASI+BRIEF,10,11.3424,13.6717,-2.3293,
SHITOMASI+BRIEF,11,12.5881,11.7805,0.8076,
SHITOMASI+BRIEF,12,8.84817,11.7604,-2.91223,
SHITOMASI+BRIEF,13,9.96028,11.7545,-1.79422,
SHITOMASI+BRIEF,14,9.34284,11.6524,-2.30956,
SHITOMASI+BRIEF,15,8.36357,11.2953,-2.93173,
SHITOMASI+BRIEF,16,10.2781,11.5174,-1.2393,
SHITOMASI+BRIEF,17,9.61104,11.1869,-1.57586,
SHITOMASI+BRIEF,18,8.39758,7.96939,0.42819,
SHITOMASI+ORB,0,,,0,
SHITOMASI+ORB,1,12.3201,14.2952,-1.9751,-0.099992778
SHITOMASI+ORB,2,12.2199,12.439,-0.2191,
SHITOMASI+ORB,3,14.7467,12.2131,2.5336,
SHITOMASI+ORB,4,16.5095,12.8595,3.65,
SHITOMASI+ORB,5,15.5839,12.1368,3.4471,
SHITOMASI+ORB,6,12.8867,13.6733,-0.7866,
SHITOMASI+ORB,7,11.9813,11.9941,-0.0128,
SHITOMASI+ORB,8,13.1207,12.3913,0.7294,
SHITOMASI+ORB,9,13.0207,11.3273,1.6934,
SHITOMASI+ORB,10,11.3424,13.6447,-2.3023,
SHITOMASI+ORB,11,12.5881,11.3027,1.2854,
SHITOMASI+ORB,12,8.84817,11.3208,-2.47263,
SHITOMASI+ORB,13,9.96028,12.3765,-2.41622,
SHITOMASI+ORB,14,9.34284,11.5476,-2.20476,
SHITOMASI+ORB,15,8.36357,10.4388,-2.07523,
SHITOMASI+ORB,16,10.2781,11.6681,-1.39,
SHITOMASI+ORB,17,9.61104,9.69202,-0.08098,
SHITOMASI+ORB,18,8.39758,7.60063,0.79695,
SHITOMASI+FREAK,0,,,0,
SHITOMASI+FREAK,1,12.3201,13.6733,-1.3532,-0.428066111
SHITOMASI+FREAK,2,12.2199,13.5031,-1.2832,
SHITOMASI+FREAK,3,14.7467,11.4665,3.2802,
SHITOMASI+FREAK,4,16.5095,12.561,3.9485,
SHITOMASI+FREAK,5,15.5839,12.6318,2.9521,
SHITOMASI+FREAK,6,12.8867,15.1537,-2.267,
SHITOMASI+FREAK,7,11.9813,13.3509,-1.3696,
SHITOMASI+FREAK,8,13.1207,12.9348,0.1859,
SHITOMASI+FREAK,9,13.0207,12.1911,0.8296,
SHITOMASI+FREAK,10,11.3424,13.199,-1.8566,
SHITOMASI+FREAK,11,12.5881,11.3274,1.2607,
SHITOMASI+FREAK,12,8.84817,12.2727,-3.42453,
SHITOMASI+FREAK,13,9.96028,12.6681,-2.70782,
SHITOMASI+FREAK,14,9.34284,11.5384,-2.19556,
SHITOMASI+FREAK,15,8.36357,10.2513,-1.88773,
SHITOMASI+FREAK,16,10.2781,11.3153,-1.0372,
SHITOMASI+FREAK,17,9.61104,10.9094,-1.29836,
SHITOMASI+FREAK,18,8.39758,7.87897,0.51861,
SHITOMASI+SIFT,0,,,0,
SHITOMASI+SIFT,1,12.3201,14.3797,-2.0596,-0.262841667
SHITOMASI+SIFT,2,12.2199,12.8955,-0.6756,
SHITOMASI+SIFT,3,14.7467,11.4703,3.2764,
SHITOMASI+SIFT,4,16.5095,12.6726,3.8369,
SHITOMASI+SIFT,5,15.5839,12.1886,3.3953,
SHITOMASI+SIFT,6,12.8867,13.0423,-0.1556,
SHITOMASI+SIFT,7,11.9813,12.0951,-0.1138,
SHITOMASI+SIFT,8,13.1207,12.338,0.7827,
SHITOMASI+SIFT,9,13.0207,11.7045,1.3162,
SHITOMASI+SIFT,10,11.3424,13.8905,-2.5481,
SHITOMASI+SIFT,11,12.5881,12.1867,0.4014,
SHITOMASI+SIFT,12,8.84817,11.9701,-3.12193,
SHITOMASI+SIFT,13,9.96028,11.6227,-1.66242,
SHITOMASI+SIFT,14,9.34284,10.9335,-1.59066,
SHITOMASI+SIFT,15,8.36357,12,-3.63643,
SHITOMASI+SIFT,16,10.2781,10.4776,-0.1995,
SHITOMASI+SIFT,17,9.61104,10.4599,-0.84886,
SHITOMASI+SIFT,18,8.39758,9.52513,-1.12755,
HARRIS+BRISK,0,,,0,
HARRIS+BRISK,1,12.3201,10.9082,1.4119,#VALUE!
HARRIS+BRISK,2,12.2199,10.195,2.0249,
HARRIS+BRISK,3,14.7467,-80.8525,95.5992,
HARRIS+BRISK,4,16.5095,11.5792,4.9303,
HARRIS+BRISK,5,15.5839,#NAME?,,
HARRIS+BRISK,6,12.8867,12.9945,-0.1078,
HARRIS+BRISK,7,11.9813,12.2395,-0.2582,
HARRIS+BRISK,8,13.1207,28.9604,-15.8397,
HARRIS+BRISK,9,13.0207,nan,#VALUE!,
HARRIS+BRISK,10,11.3424,#NAME?,#NAME?,
HARRIS+BRISK,11,12.5881,11.7414,0.8467,
HARRIS+BRISK,12,8.84817,11.6948,-2.84663,
HARRIS+BRISK,13,9.96028,568.322,-558.36172,
HARRIS+BRISK,14,9.34284,7.72144,1.6214,
HARRIS+BRISK,15,8.36357,-12.639,21.00257,
HARRIS+BRISK,16,10.2781,6.33929,3.93881,
HARRIS+BRISK,17,9.61104,12.5848,-2.97376,
HARRIS+BRISK,18,8.39758,#NAME?,#NAME?,
HARRIS+BRIEF,0,,,0,
HARRIS+BRIEF,1,12.3201,10.9082,1.4119,#NAME?
HARRIS+BRIEF,2,12.2199,11.0081,1.2118,
HARRIS+BRIEF,3,14.7467,-11.4731,26.2198,
HARRIS+BRIEF,4,16.5095,11.5792,4.9303,
HARRIS+BRIEF,5,15.5839,35.3833,-19.7994,
HARRIS+BRIEF,6,12.8867,15.2483,-2.3616,
HARRIS+BRIEF,7,11.9813,14.2744,-2.2931,
HARRIS+BRIEF,8,13.1207,17.6204,-4.4997,
HARRIS+BRIEF,9,13.0207,3.30058,9.72012,
HARRIS+BRIEF,10,11.3424,-13.4405,24.7829,
HARRIS+BRIEF,11,12.5881,11.7414,0.8467,
HARRIS+BRIEF,12,8.84817,11.6948,-2.84663,
HARRIS+BRIEF,13,9.96028,284.161,-274.20072,
HARRIS+BRIEF,14,9.34284,5.6061,3.73674,
HARRIS+BRIEF,15,8.36357,-13.6263,21.98987,
HARRIS+BRIEF,16,10.2781,6.7641,3.514,
HARRIS+BRIEF,17,9.61104,12.5848,-2.97376,
HARRIS+BRIEF,18,8.39758,#NAME?,#NAME?,
HARRIS+ORB,0,,,0,
HARRIS+ORB,1,12.3201,10.9082,1.4119,#VALUE!
HARRIS+ORB,2,12.2199,11.0081,1.2118,
HARRIS+ORB,3,14.7467,-11.4731,26.2198,
HARRIS+ORB,4,16.5095,11.5792,4.9303,
HARRIS+ORB,5,15.5839,34.7543,-19.1704,
HARRIS+ORB,6,12.8867,13.6217,-0.735,
HARRIS+ORB,7,11.9813,13.497,-1.5157,
HARRIS+ORB,8,13.1207,17.6204,-4.4997,
HARRIS+ORB,9,13.0207,nan,#VALUE!,
HARRIS+ORB,10,11.3424,#NAME?,#NAME?,
HARRIS+ORB,11,12.5881,11.4377,1.1504,
HARRIS+ORB,12,8.84817,11.6948,-2.84663,
HARRIS+ORB,13,9.96028,13.4327,-3.47242,
HARRIS+ORB,14,9.34284,5.85828,3.48456,
HARRIS+ORB,15,8.36357,-13.6263,21.98987,
HARRIS+ORB,16,10.2781,6.71705,3.56105,
HARRIS+ORB,17,9.61104,12.5848,-2.97376,
HARRIS+ORB,18,8.39758,#NAME?,#NAME?,
HARRIS+FREAK,0,,,0,
HARRIS+FREAK,1,12.3201,9.74953,2.57057,#VALUE!
HARRIS+FREAK,2,12.2199,10.586,1.6339,
HARRIS+FREAK,3,14.7467,-10.295,25.0417,
HARRIS+FREAK,4,16.5095,11.7693,4.7402,
HARRIS+FREAK,5,15.5839,89.8332,-74.2493,
HARRIS+FREAK,6,12.8867,13.5907,-0.704,
HARRIS+FREAK,7,11.9813,13.6036,-1.6223,
HARRIS+FREAK,8,13.1207,12.9162,0.2045,
HARRIS+FREAK,9,13.0207,nan,#VALUE!,
HARRIS+FREAK,10,11.3424,10.2931,1.0493,
HARRIS+FREAK,11,12.5881,11.7414,0.8467,
HARRIS+FREAK,12,8.84817,11.6948,-2.84663,
